,date
1500,10/14/2003
1501,10/15/2003
1502,10/16/2003
1503,10/17/2003
1504,10/20/2003
1505,10/21/2003
1506,10/22/2003
1507,10/23/2003
1508,10/24/2003
1509,10/27/2003
1510,10/28/2003
1511,10/29/2003
1512,10/30/2003
1513,10/31/2003
1514,11/3/2003
1515,11/4/2003
1516,11/5/2003
1517,11/6/2003
1518,11/7/2003
1519,11/10/2003
1520,11/11/2003
1521,11/12/2003
1522,11/14/2003
1523,11/17/2003
1524,11/18/2003
1525,11/19/2003
1526,11/20/2003
1527,11/21/2003
1528,11/22/2003
1529,11/23/2003
1530,11/24/2003
1531,11/25/2003
1532,12/8/2003
1533,12/9/2003
1534,12/15/2003
1535,1/20/2004
1536,1/21/2004
1537,1/22/2004
1538,1/23/2004
1539,1/26/2004
1540,1/27/2004
1541,1/28/2004
1542,1/29/2004
1543,1/30/2004
1544,2/2/2004
1545,2/3/2004
1546,2/4/2004
1547,2/5/2004
1548,2/6/2004
1549,2/9/2004
1550,2/10/2004
1551,2/11/2004
1552,2/12/2004
1553,2/23/2004
1554,2/24/2004
1555,2/25/2004
1556,2/26/2004
1557,2/27/2004
1558,02/30/2004
1559,02/31/2004
1560,3/1/2004
1561,3/2/2004
1562,3/3/2004
1563,3/4/2004
1564,3/8/2004
1565,3/9/2004
1566,3/10/2004
1567,3/11/2004
1568,3/12/2004
1569,3/16/2004
1570,3/17/2004
1571,3/18/2004
1572,3/22/2004
1573,3/23/2004
1574,3/24/2004
1575,3/25/2004
1576,3/26/2004
1577,3/29/2004
1578,3/30/2004
1579,3/31/2004
1580,4/1/2004
1581,4/2/2004
1582,4/5/2004
1583,4/6/2004
1584,4/7/2004
1585,4/8/2004
1586,4/19/2004
1587,4/20/2004
1588,4/21/2004
1589,4/22/2004
1590,4/26/2004
1591,4/27/2004
1592,4/28/2004
1593,4/29/2004
1594,4/30/2004
1595,5/3/2004
1596,5/4/2004
1597,5/5/2004
1598,5/6/2004
1599,5/7/2004
1600,5/10/2004
1601,5/11/2004
1602,5/12/2004
1603,5/13/2004
1604,5/14/2004
1605,5/17/2004
1606,5/18/2004
1607,5/19/2004
1608,5/20/2004
1609,5/21/2004
1610,6/1/2004
1611,6/2/2004
1612,6/3/2004
1613,6/4/2004
1614,6/7/2004
1615,6/8/2004
1616,6/9/2004
1617,6/14/2004
1618,6/15/2004
1619,6/16/2004
1620,6/17/2004
1621,6/18/2004
1622,6/21/2004
1623,6/22/2004
1624,6/23/2004
1625,6/24/2004
1626,6/25/2004
1627,7/6/2004
1628,7/7/2004
1629,7/8/2004
1630,7/9/2004
1631,7/12/2004
1632,7/13/2004
1633,7/14/2004
1634,7/15/2004
1635,7/16/2004
1636,7/19/2004
1637,7/20/2004
1638,7/21/2004
1639,7/22/2004
1640,9/7/2004
1641,9/8/2004
1642,9/9/2004
1643,9/10/2004
1644,9/13/2004
1645,9/14/2004
1646,9/15/2004
1647,9/16/2004
1648,9/17/2004
1649,9/20/2004
1650,9/21/2004
1651,9/22/2004
1652,9/23/2004
1653,9/24/2004
1654,9/27/2004
1655,9/28/2004
1656,9/29/2004
1657,9/30/2004
1658,09/31/2004
1659,10/1/2004
1660,10/4/2004
1661,10/5/2004
1662,10/6/2004
1663,10/7/2004
1664,10/8/2004
1665,10/9/2004
1666,10/10/2004
1667,10/11/2004
1668,11/16/2004
1669,11/17/2004
1670,11/18/2004
1671,11/19/2004
1672,11/20/2004
1673,11/24/2004
1674,12/6/2004
1675,12/7/2004
1676,12/8/2004
1677,12/20/2004
1678,1/4/2005
1679,1/6/2005
1680,1/20/2005
1681,1/24/2005
1682,1/25/2005
1683,1/26/2005
1684,1/31/2005
1685,2/1/2005
1686,2/2/2005
1687,2/3/2005
1688,2/7/2005
1689,2/8/2005
1690,2/9/2005
1691,2/10/2005
1692,2/14/2005
1693,2/15/2005
1694,2/16/2005
1695,2/17/2005
1696,2/18/2005
1697,2/28/2005
1698,02/29/2005
1699,02/30/2005
1700,02/31/2005
1701,3/1/2005
1702,3/2/2005
1703,3/3/2005
1704,3/4/2005
1705,3/7/2005
1706,3/8/2005
1707,3/9/2005
1708,3/10/2005
1709,3/11/2005
1710,3/14/2005
1711,3/15/2005
1712,3/16/2005
1713,3/17/2005
1714,3/19/2005
1715,3/20/2005
1716,4/4/2005
1717,4/5/2005
1718,4/6/2005
1719,4/7/2005
1720,4/8/2005
1721,4/11/2005
1722,4/12/2005
1723,4/13/2005
1724,4/14/2005
1725,4/15/2005
1726,4/18/2005
1727,4/19/2005
1728,4/20/2005
1729,4/21/2005
1730,4/22/2005
1731,4/25/2005
1732,4/26/2005
1733,4/27/2005
1734,4/28/2005
1735,5/2/2005
1736,5/3/2005
1737,5/4/2005
1738,5/5/2005
1739,5/9/2005
1740,5/10/2005
1741,5/11/2005
1742,5/12/2005
1743,5/13/2005
1744,5/16/2005
1745,5/17/2005
1746,5/18/2005
1747,5/19/2005
1748,5/20/2005
1749,5/23/2005
1750,5/24/2005
1751,5/25/2005
1752,5/26/2005
1753,6/6/2005
1754,6/7/2005
1755,6/8/2005
1756,6/9/2005
1757,6/13/2005
1758,6/14/2005
1759,6/15/2005
1760,6/16/2005
1761,6/17/2005
1762,6/20/2005
1763,6/21/2005
1764,6/22/2005
1765,6/23/2005
1766,6/24/2005
1767,6/27/2005
1768,6/28/2005
1769,6/29/2005
1770,6/30/2005
1771,06/31/2005
1772,7/1/2005
1773,7/11/2005
1774,7/12/2005
1775,7/13/2005
1776,7/14/2005
1777,7/15/2005
1778,7/18/2005
1779,7/19/2005
1780,7/20/2005
1781,7/21/2005
1782,7/22/2005
1783,7/25/2005
1784,7/26/2005
1785,7/27/2005
1786,7/28/2005
1787,7/29/2005
1788,9/1/2005
1789,9/2/2005
1790,9/6/2005
1791,9/7/2005
1792,9/8/2005
1793,9/9/2005
1794,9/12/2005
1795,9/13/2005
1796,9/14/2005
1797,9/15/2005
1798,9/19/2005
1799,9/20/2005
1800,9/21/2005
1801,9/22/2005
1802,9/26/2005
1803,9/27/2005
1804,9/28/2005
1805,9/29/2005
1806,9/30/2005
1807,10/3/2005
1808,10/4/2005
1809,10/5/2005
1810,10/6/2005
1811,10/7/2005
1812,10/17/2005
1813,10/18/2005
1814,10/19/2005
1815,10/20/2005
1816,10/21/2005
1817,10/24/2005
1818,10/25/2005
1819,10/26/2005
1820,10/27/2005
1821,10/28/2005
1822,10/31/2005
1823,11/1/2005
1824,11/2/2005
1825,11/3/2005
1826,11/4/2005
1827,11/7/2005
1828,11/8/2005
1829,11/9/2005
1830,11/10/2005
1831,11/14/2005
1832,11/15/2005
1833,11/16/2005
1834,11/17/2005
1835,11/18/2005
1836,12/6/2005
1837,12/7/2005
1838,12/8/2005
1839,12/12/2005
1840,12/13/2005
1841,12/14/2005
1842,12/15/2005
1843,12/16/2005
1844,12/17/2005
1845,12/18/2005
1846,12/19/2005
1847,12/20/2005
1848,12/21/2005
1849,12/22/2005
1850,12/30/2005
1851,1/3/2006
1852,1/18/2006
1853,1/20/2006
1854,1/24/2006
1855,1/25/2006
1856,1/26/2006
1857,1/27/2006
1858,1/30/2006
1859,1/31/2006
1860,2/1/2006
1861,2/2/2006
1862,2/6/2006
1863,2/7/2006
1864,2/8/2006
1865,2/9/2006
1866,2/10/2006
1867,2/13/2006
1868,2/14/2006
1869,2/15/2006
1870,2/16/2006
1871,2/17/2006
1872,2/27/2006
1873,2/28/2006
1874,02/29/2006
1875,02/30/2006
1876,02/31/2006
1877,3/1/2006
1878,3/2/2006
1879,3/3/2006
1880,3/6/2006
1881,3/7/2006
1882,3/8/2006
1883,3/9/2006
1884,3/13/2006
1885,3/14/2006
1886,3/15/2006
1887,3/16/2006
1888,3/27/2006
1889,3/28/2006
1890,3/29/2006
1891,3/30/2006
1892,3/31/2006
1893,4/3/2006
1894,4/4/2006
1895,4/5/2006
1896,4/6/2006
1897,4/7/2006
1898,4/24/2006
1899,4/25/2006
1900,4/26/2006
1901,4/27/2006
1902,04/31/2006
1903,5/1/2006
1904,5/2/2006
1905,5/3/2006
1906,5/4/2006
1907,5/5/2006
1908,5/8/2006
1909,5/9/2006
1910,5/10/2006
1911,5/11/2006
1912,5/12/2006
1913,5/15/2006
1914,5/16/2006
1915,5/17/2006
1916,5/18/2006
1917,5/19/2006
1918,5/22/2006
1919,5/23/2006
1920,5/24/2006
1921,5/25/2006
1922,5/26/2006
1923,6/5/2006
1924,6/6/2006
1925,6/7/2006
1926,6/8/2006
1927,6/9/2006
1928,6/12/2006
1929,6/13/2006
1930,6/14/2006
1931,6/15/2006
1932,6/16/2006
1933,6/19/2006
1934,6/20/2006
1935,6/21/2006
1936,6/22/2006
1937,6/23/2006
1938,6/26/2006
1939,6/27/2006
1940,6/28/2006
1941,6/29/2006
1942,7/10/2006
1943,7/11/2006
1944,7/12/2006
1945,7/13/2006
1946,7/14/2006
1947,7/17/2006
1948,7/18/2006
1949,7/19/2006
1950,7/20/2006
1951,7/21/2006
1952,7/24/2006
1953,7/25/2006
1954,7/26/2006
1955,7/27/2006
1956,7/28/2006
1957,7/31/2006
1958,8/1/2006
1959,8/2/2006
1960,8/3/2006
1961,9/5/2006
1962,9/6/2006
1963,9/7/2006
1964,9/8/2006
1965,9/11/2006
1966,9/12/2006
1967,9/13/2006
1968,9/14/2006
1969,9/15/2006
1970,9/18/2006
1971,9/19/2006
1972,9/20/2006
1973,9/21/2006
1974,9/22/2006
1975,9/25/2006
1976,9/26/2006
1977,9/27/2006
1978,9/28/2006
1979,9/29/2006
1980,11/9/2006
1981,11/13/2006
1982,11/14/2006
1983,11/15/2006
1984,11/16/2006
1985,12/4/2006
1986,12/5/2006
1987,12/6/2006
1988,12/7/2006
1989,12/8/2006
1990,12/27/2006
1991,1/4/2007
1992,1/5/2007
1993,1/8/2007
1994,1/9/2007
1995,1/10/2007
1996,1/11/2007
1997,1/12/2007
1998,1/16/2007
1999,1/17/2007
2000,1/18/2007
2001,1/19/2007
2002,1/22/2007
2003,1/23/2007
2004,1/24/2007
2005,1/25/2007
2006,1/26/2007
2007,1/29/2007
2008,1/30/2007
2009,1/31/2007
2010,2/1/2007
2011,2/5/2007
2012,2/6/2007
2013,2/7/2007
2014,2/8/2007
2015,2/9/2007
2016,2/12/2007
2017,2/13/2007
2018,2/14/2007
2019,2/15/2007
2020,2/16/2007
2021,2/17/2007
2022,2/26/2007
2023,2/27/2007
2024,2/28/2007
2025,02/29/2007
2026,02/30/2007
2027,3/1/2007
2028,3/2/2007
2029,3/5/2007
2030,3/6/2007
2031,3/7/2007
2032,3/8/2007
2033,3/9/2007
2034,3/12/2007
2035,3/13/2007
2036,3/14/2007
2037,3/15/2007
2038,3/16/2007
2039,3/19/2007
2040,3/20/2007
2041,3/21/2007
2042,3/22/2007
2043,3/23/2007
2044,3/26/2007
2045,3/27/2007
2046,3/28/2007
2047,3/29/2007
2048,3/30/2007
2049,4/10/2007
2050,4/11/2007
2051,4/12/2007
2052,4/16/2007
2053,4/17/2007
2054,4/18/2007
2055,4/19/2007
2056,4/20/2007
2057,4/23/2007
2058,4/24/2007
2059,4/25/2007
2060,4/26/2007
2061,4/30/2007
2062,04/31/2007
2063,5/1/2007
2064,5/2/2007
2065,5/3/2007
2066,5/4/2007
2067,5/7/2007
2068,5/8/2007
2069,5/9/2007
2070,5/10/2007
2071,5/11/2007
2072,5/14/2007
2073,5/15/2007
2074,5/16/2007
2075,5/17/2007
2076,5/21/2007
2077,5/22/2007
2078,5/23/2007
2079,5/24/2007
2080,5/25/2007
2081,6/4/2007
2082,6/5/2007
2083,6/6/2007
2084,6/7/2007
2085,6/8/2007
2086,6/11/2007
2087,6/12/2007
2088,6/13/2007
2089,6/14/2007
2090,6/15/2007
2091,6/18/2007
2092,6/19/2007
2093,6/20/2007
2094,6/21/2007
2095,6/22/2007
2096,6/25/2007
2097,6/26/2007
2098,6/27/2007
2099,6/28/2007
2100,6/29/2007
2101,7/9/2007
2102,7/10/2007
2103,7/11/2007
2104,7/12/2007
2105,7/13/2007
2106,7/16/2007
2107,7/17/2007
2108,7/18/2007
2109,7/19/2007
2110,7/20/2007
2111,7/23/2007
2112,7/24/2007
2113,7/25/2007
2114,7/26/2007
2115,7/27/2007
2116,7/30/2007
2117,7/31/2007
2118,8/1/2007
2119,8/2/2007
2120,8/3/2007
2121,8/4/2007
2122,9/4/2007
2123,9/5/2007
2124,9/6/2007
2125,9/7/2007
2126,9/10/2007
2127,9/11/2007
2128,9/12/2007
2129,9/14/2007
2130,9/17/2007
2131,9/18/2007
2132,9/19/2007
2133,9/20/2007
2134,9/21/2007
2135,9/24/2007
2136,9/25/2007
2137,9/26/2007
2138,9/27/2007
2139,9/28/2007
2140,09/31/2007
2141,10/1/2007
2142,10/2/2007
2143,10/3/2007
2144,10/4/2007
2145,10/5/2007
2146,10/9/2007
2147,10/10/2007
2148,10/12/2007
2149,10/15/2007
2150,10/16/2007
2151,10/17/2007
2152,10/18/2007
2153,10/19/2007
2154,10/22/2007
2155,10/23/2007
2156,10/24/2007
2157,10/25/2007
2158,10/26/2007
2159,10/29/2007
2160,10/30/2007
2161,10/31/2007
2162,11/1/2007
2163,11/2/2007
2164,11/5/2007
2165,11/6/2007
2166,11/7/2007
2167,11/8/2007
2168,11/9/2007
2169,11/13/2007
2170,11/14/2007
2171,11/15/2007
2172,11/16/2007
2173,11/20/2007
2174,11/23/2007
2175,11/27/2007
2176,11/29/2007
2177,12/3/2007
2178,12/4/2007
2179,12/5/2007
2180,12/6/2007
2181,12/7/2007
2182,12/10/2007
2183,12/11/2007
2184,12/12/2007
2185,12/13/2007
2186,12/14/2007
2187,12/17/2007
2188,12/18/2007
2189,12/19/2007
2190,12/21/2007
2191,12/23/2007
2192,12/26/2007
2193,12/28/2007
2194,12/31/2007
2195,1/3/2008
2196,1/7/2008
2197,1/9/2008
2198,1/11/2008
2199,1/15/2008
2200,1/16/2008
2201,1/17/2008
2202,1/18/2008
2203,1/22/2008
2204,1/23/2008
2205,1/24/2008
2206,1/25/2008
2207,1/28/2008
2208,1/29/2008
2209,1/30/2008
2210,1/31/2008
2211,2/4/2008
2212,2/5/2008
2213,2/6/2008
2214,2/7/2008
2215,2/8/2008
2216,2/11/2008
2217,2/12/2008
2218,2/13/2008
2219,2/14/2008
2220,2/15/2008
2221,2/19/2008
2222,2/21/2008
2223,2/22/2008
2224,2/25/2008
2225,2/26/2008
2226,2/27/2008
2227,2/28/2008
2228,2/29/2008
2229,3/3/2008
2230,3/4/2008
2231,3/5/2008
2232,3/6/2008
2233,3/7/2008
2234,3/10/2008
2235,3/11/2008
2236,3/12/2008
2237,3/13/2008
2238,3/14/2008
2239,3/18/2008
2240,3/21/2008
2241,3/24/2008
2242,3/27/2008
2243,3/31/2008
2244,4/1/2008
2245,4/2/2008
2246,4/3/2008
2247,4/4/2008
2248,4/7/2008
2249,4/8/2008
2250,4/9/2008
2251,4/10/2008
2252,4/14/2008
2253,4/15/2008
2254,4/16/2008
2255,4/17/2008
2256,4/18/2008
2257,4/21/2008
2258,4/22/2008
2259,4/23/2008
2260,4/24/2008
2261,4/25/2008
2262,4/28/2008
2263,4/29/2008
2264,4/30/2008
2265,04/31/2008
2266,5/1/2008
2267,5/2/2008
2268,5/5/2008
2269,5/6/2008
2270,5/7/2008
2271,5/8/2008
2272,5/12/2008
2273,5/13/2008
2274,5/14/2008
2275,5/15/2008
2276,5/16/2008
2277,5/19/2008
2278,5/20/2008
2279,5/21/2008
2280,5/22/2008
2281,5/23/2008
2282,5/27/2008
2283,5/29/2008
2284,6/2/2008
2285,6/3/2008
2286,6/4/2008
2287,6/5/2008
2288,6/6/2008
2289,6/9/2008
2290,6/10/2008
2291,6/11/2008
2292,6/12/2008
2293,6/13/2008
2294,6/16/2008
2295,6/17/2008
2296,6/18/2008
2297,6/19/2008
2298,6/20/2008
2299,6/23/2008
2300,6/24/2008
2301,6/25/2008
2302,6/26/2008
2303,6/27/2008
2304,6/30/2008
2305,7/7/2008
2306,7/8/2008
2307,7/9/2008
2308,7/10/2008
2309,7/11/2008
2310,7/14/2008
2311,7/15/2008
2312,7/16/2008
2313,7/17/2008
2314,7/21/2008
2315,7/22/2008
2316,7/23/2008
2317,7/24/2008
2318,7/25/2008
2319,7/26/2008
2320,7/27/2008
2321,7/28/2008
2322,7/29/2008
2323,7/30/2008
2324,7/31/2008
2325,8/1/2008
2326,8/5/2008
2327,8/8/2008
2328,8/12/2008
2329,8/15/2008
2330,8/19/2008
2331,8/22/2008
2332,8/26/2008
2333,8/29/2008
2334,9/2/2008
2335,9/5/2008
2336,9/8/2008
2337,9/9/2008
2338,9/10/2008
2339,9/11/2008
2340,9/12/2008
2341,9/15/2008
2342,9/16/2008
2343,9/17/2008
2344,9/18/2008
2345,9/22/2008
2346,9/23/2008
2347,9/24/2008
2348,9/25/2008
2349,9/26/2008
2350,9/27/2008
2351,9/28/2008
2352,9/29/2008
2353,9/30/2008
2354,09/31/2008
2355,10/1/2008
2356,10/2/2008
2357,10/3/2008
2358,10/6/2008
2359,10/7/2008
2360,10/10/2008
2361,10/14/2008
2362,10/16/2008
2363,10/20/2008
2364,10/23/2008
2365,10/27/2008
2366,10/30/2008
2367,11/3/2008
2368,11/6/2008
2369,11/10/2008
2370,11/13/2008
2371,11/17/2008
2372,11/19/2008
2373,11/20/2008
2374,11/24/2008
2375,11/26/2008
2376,11/29/2008
2377,12/2/2008
2378,12/5/2008
2379,12/8/2008
2380,12/9/2008
2381,12/10/2008
2382,12/11/2008
2383,12/12/2008
2384,12/16/2008
2385,12/19/2008
2386,12/23/2008
2387,12/26/2008
2388,12/30/2008
2389,1/2/2009
2390,1/3/2009
2391,1/6/2009
2392,1/7/2009
2393,1/8/2009
2394,1/9/2009
2395,1/11/2009
2396,1/12/2009
2397,1/13/2009
2398,1/14/2009
2399,1/15/2009
2400,1/16/2009
2401,1/20/2009
2402,1/21/2009
2403,1/22/2009
2404,1/23/2009
2405,1/26/2009
2406,1/27/2009
2407,1/28/2009
2408,1/29/2009
2409,1/30/2009
2410,2/2/2009
2411,2/3/2009
2412,2/4/2009
2413,2/5/2009
2414,2/6/2009
2415,2/7/2009
2416,2/9/2009
2417,2/10/2009
2418,2/11/2009
2419,2/12/2009
2420,2/13/2009
2421,2/23/2009
2422,2/24/2009
2423,2/25/2009
2424,2/26/2009
2425,2/27/2009
2426,02/30/2009
2427,02/31/2009
2428,3/2/2009
2429,3/3/2009
2430,3/4/2009
2431,3/5/2009
2432,3/6/2009
2433,3/9/2009
2434,3/10/2009
2435,3/11/2009
2436,3/12/2009
2437,3/16/2009
2438,3/17/2009
2439,3/18/2009
2440,3/19/2009
2441,3/23/2009
2442,3/24/2009
2443,3/25/2009
2444,3/26/2009
2445,3/30/2009
2446,3/31/2009
2447,4/1/2009
2448,4/2/2009
2449,4/20/2009
2450,4/21/2009
2451,4/22/2009
2452,4/23/2009
2453,4/24/2009
2454,4/27/2009
2455,4/28/2009
2456,4/29/2009
2457,4/30/2009
2458,04/31/2009
2459,5/1/2009
2460,5/4/2009
2461,5/5/2009
2462,5/6/2009
2463,5/7/2009
2464,5/11/2009
2465,5/12/2009
2466,5/13/2009
2467,5/14/2009
2468,5/15/2009
2469,5/18/2009
2470,5/19/2009
2471,5/20/2009
2472,5/21/2009
2473,6/1/2009
2474,6/2/2009
2475,6/3/2009
2476,6/4/2009
2477,6/8/2009
2478,6/9/2009
2479,6/10/2009
2480,6/11/2009
2481,6/12/2009
2482,6/15/2009
2483,6/16/2009
2484,6/17/2009
2485,6/18/2009
2486,6/19/2009
2487,6/22/2009
2488,6/23/2009
2489,6/24/2009
2490,6/25/2009
2491,6/26/2009
2492,7/6/2009
2493,7/7/2009
2494,7/8/2009
2495,7/9/2009
2496,7/10/2009
2497,7/13/2009
2498,7/14/2009
2499,7/15/2009
2500,7/16/2009
2501,7/17/2009
2502,7/20/2009
2503,7/21/2009
2504,7/22/2009
2505,7/23/2009
2506,7/24/2009
2507,7/27/2009
2508,7/28/2009
2509,7/29/2009
2510,7/30/2009
2511,7/31/2009
2512,8/3/2009
2513,8/4/2009
2514,8/5/2009
2515,8/6/2009
2516,8/7/2009
2517,8/10/2009
2518,9/8/2009
2519,9/9/2009
2520,9/10/2009
2521,9/11/2009
2522,9/14/2009
2523,9/15/2009
2524,9/16/2009
2525,9/17/2009
2526,9/21/2009
2527,9/22/2009
2528,9/23/2009
2529,9/24/2009
2530,9/25/2009
2531,9/29/2009
2532,9/30/2009
2533,09/31/2009
2534,10/1/2009
2535,10/2/2009
2536,10/5/2009
2537,10/6/2009
2538,10/7/2009
2539,10/8/2009
2540,10/9/2009
2541,10/13/2009
2542,10/14/2009
2543,10/15/2009
2544,10/16/2009
2545,10/19/2009
2546,10/20/2009
2547,10/21/2009
2548,10/22/2009
2549,10/23/2009
2550,10/26/2009
2551,10/27/2009
2552,10/28/2009
2553,10/29/2009
2554,10/30/2009
2555,11/2/2009
2556,11/3/2009
2557,11/4/2009
2558,11/5/2009
2559,11/6/2009
2560,11/7/2009
2561,11/9/2009
2562,11/10/2009
2563,11/16/2009
2564,11/17/2009
2565,11/18/2009
2566,11/19/2009
2567,11/20/2009
2568,11/21/2009
2569,11/30/2009
2570,11/31/2009
2571,12/1/2009
2572,12/2/2009
2573,12/3/2009
2574,12/4/2009
2575,12/5/2009
2576,12/6/2009
2577,12/7/2009
2578,12/8/2009
2579,12/9/2009
2580,12/10/2009
2581,12/11/2009
2582,12/12/2009
2583,12/13/2009
2584,12/14/2009
2585,12/15/2009
2586,12/16/2009
2587,12/17/2009
2588,12/18/2009
2589,12/19/2009
2590,12/20/2009
2591,12/21/2009
2592,12/22/2009
2593,12/23/2009
2594,12/24/2009
2595,1/5/2010
2596,1/12/2010
2597,1/13/2010
2598,1/15/2010
2599,1/19/2010
2600,1/20/2010
2601,1/21/2010
2602,1/22/2010
2603,1/25/2010
2604,1/26/2010
2605,1/27/2010
2606,1/28/2010
2607,1/29/2010
2608,2/1/2010
2609,2/2/2010
2610,2/3/2010
2611,2/4/2010
2612,2/5/2010
2613,2/8/2010
2614,2/9/2010
2615,2/11/2010
2616,2/22/2010
2617,2/23/2010
2618,2/24/2010
2619,2/25/2010
2620,2/26/2010
2621,02/29/2010
2622,02/30/2010
2623,02/31/2010
2624,3/1/2010
2625,3/2/2010
2626,3/3/2010
2627,3/4/2010
2628,3/5/2010
2629,3/8/2010
2630,3/9/2010
2631,3/10/2010
2632,3/11/2010
2633,3/12/2010
2634,3/15/2010
2635,3/16/2010
2636,3/17/2010
2637,3/18/2010
2638,3/19/2010
2639,3/20/2010
2640,3/21/2010
2641,3/22/2010
2642,3/23/2010
2643,3/24/2010
2644,3/25/2010
2645,3/26/2010
2646,4/12/2010
2647,4/13/2010
2648,4/14/2010
2649,4/15/2010
2650,4/16/2010
2651,4/19/2010
2652,4/20/2010
2653,4/21/2010
2654,4/22/2010
2655,4/26/2010
2656,4/27/2010
2657,4/28/2010
2658,4/29/2010
2659,4/30/2010
2660,5/3/2010
2661,5/4/2010
2662,5/5/2010
2663,5/6/2010
2664,5/7/2010
2665,5/10/2010
2666,5/11/2010
2667,5/12/2010
2668,5/13/2010
2669,5/14/2010
2670,5/17/2010
2671,5/18/2010
2672,5/19/2010
2673,5/20/2010
2674,5/21/2010
2675,5/24/2010
2676,5/25/2010
2677,5/26/2010
2678,5/27/2010
2679,5/28/2010
2680,6/7/2010
2681,6/8/2010
2682,6/9/2010
2683,6/10/2010
2684,6/14/2010
2685,6/15/2010
2686,6/16/2010
2687,6/17/2010
2688,6/18/2010
2689,6/21/2010
2690,6/22/2010
2691,6/23/2010
2692,6/24/2010
2693,6/25/2010
2694,6/28/2010
2695,6/29/2010
2696,6/30/2010
2697,06/31/2010
2698,7/1/2010
2699,7/12/2010
2700,7/13/2010
2701,7/14/2010
2702,7/15/2010
2703,7/19/2010
2704,7/20/2010
2705,7/21/2010
2706,7/22/2010
2707,7/26/2010
2708,7/27/2010
2709,7/28/2010
2710,7/29/2010
2711,7/30/2010
2712,8/2/2010
2713,8/3/2010
2714,8/4/2010
2715,8/5/2010
2716,8/9/2010
2717,8/10/2010
2718,8/12/2010
2719,9/13/2010
2720,9/14/2010
2721,9/15/2010
2722,9/16/2010
2723,9/20/2010
2724,9/21/2010
2725,9/22/2010
2726,9/23/2010
2727,9/24/2010
2728,9/27/2010
2729,9/28/2010
2730,9/29/2010
2731,09/31/2010
2732,10/1/2010
2733,10/5/2010
2734,10/8/2010
2735,10/12/2010
2736,10/15/2010
2737,10/19/2010
2738,10/22/2010
2739,10/26/2010
2740,10/29/2010
2741,11/1/2010
2742,11/4/2010
2743,11/8/2010
2744,11/10/2010
2745,11/12/2010
2746,11/15/2010
2747,11/16/2010
2748,11/17/2010
2749,11/18/2010
2750,11/19/2010
2751,11/29/2010
2752,11/30/2010
2753,11/31/2010
2754,12/1/2010
2755,12/2/2010
2756,12/3/2010
2757,12/4/2010
2758,12/6/2010
2759,12/7/2010
2760,12/8/2010
2761,12/9/2010
2762,12/10/2010
2763,12/13/2010
2764,12/14/2010
2765,12/15/2010
2766,12/16/2010
2767,12/17/2010
2768,12/18/2010
2769,12/19/2010
2770,12/20/2010
2771,12/21/2010
2772,12/22/2010
2773,12/29/2010
2774,1/5/2011
2775,1/6/2011
2776,1/7/2011
2777,1/11/2011
2778,1/12/2011
2779,1/18/2011
2780,1/19/2011
2781,1/20/2011
2782,1/24/2011
2783,1/25/2011
2784,1/26/2011
2785,1/27/2011
2786,1/31/2011
2787,2/1/2011
2788,2/2/2011
2789,2/3/2011
2790,2/4/2011
2791,2/7/2011
2792,2/8/2011
2793,2/9/2011
2794,2/10/2011
2795,2/11/2011
2796,2/14/2011
2797,2/15/2011
2798,2/16/2011
2799,2/17/2011
2800,2/18/2011
2801,2/28/2011
2802,02/29/2011
2803,02/30/2011
2804,02/31/2011
2805,3/1/2011
2806,3/2/2011
2807,3/3/2011
2808,3/4/2011
2809,3/7/2011
2810,3/8/2011
2811,3/9/2011
2812,3/10/2011
2813,3/11/2011
2814,3/14/2011
2815,3/15/2011
2816,3/16/2011
2817,3/17/2011
2818,3/28/2011
2819,3/29/2011
2820,3/30/2011
2821,3/31/2011
2822,4/1/2011
2823,4/4/2011
2824,4/5/2011
2825,4/6/2011
2826,4/7/2011
2827,4/8/2011
2828,4/11/2011
2829,4/12/2011
2830,4/13/2011
2831,4/14/2011
2832,4/15/2011
2833,5/2/2011
2834,5/3/2011
2835,5/4/2011
2836,5/5/2011
2837,5/6/2011
2838,5/9/2011
2839,5/10/2011
2840,5/11/2011
2841,5/12/2011
2842,5/13/2011
2843,5/16/2011
2844,5/17/2011
2845,5/18/2011
2846,5/19/2011
2847,5/23/2011
2848,5/24/2011
2849,5/25/2011
2850,5/26/2011
2851,5/27/2011
2852,5/31/2011
2853,6/1/2011
2854,6/2/2011
2855,6/3/2011
2856,6/6/2011
2857,6/7/2011
2858,6/8/2011
2859,6/9/2011
2860,6/13/2011
2861,6/14/2011
2862,6/15/2011
2863,6/16/2011
2864,6/20/2011
2865,6/21/2011
2866,6/22/2011
2867,6/23/2011
2868,6/24/2011
2869,6/27/2011
2870,6/28/2011
2871,6/29/2011
2872,6/30/2011
2873,06/31/2011
2874,7/1/2011
2875,7/5/2011
2876,7/6/2011
2877,7/8/2011
2878,7/11/2011
2879,7/12/2011
2880,7/13/2011
2881,7/14/2011
2882,7/15/2011
2883,7/18/2011
2884,7/19/2011
2885,7/20/2011
2886,7/21/2011
2887,7/22/2011
2888,7/25/2011
2889,7/26/2011
2890,7/27/2011
2891,7/28/2011
2892,7/29/2011
2893,7/30/2011
2894,7/31/2011
2895,8/1/2011
2896,8/2/2011
2897,8/5/2011
2898,8/9/2011
